binlabel,starttime,endtime,numofoccurrences,numofformations,numoflocalities
C1,358.9,346.7,9,1,7
C2,346.7,330.9,18,6,12
C3,318.1,314.6,61,8,26
C4,311.45,306.95,103,6,19
C5,303.4,298.9,89,27,45
P1,298.9,295.5,162,32,90
P2,290.1,279.3,160,24,72
P3,279.3,272.3,239,14,79
P4,265.1,259.9,367,15,145
P5,259.9,254.17,922,36,349
Tr1,247.2,247.2,836,93,464
Tr2,242,237,159,11,82
Tr3,237,228,149,24,100
Tr4,228,208.5,744,55,411
Tr5,208.5,201.3,136,16,52
J1,201.3,190.8,201,15,145
J2,190.8,182.7,10,1,6
J3,180.1,168.4,41,9,23
J4,167.7,164.7,116,22,40
J5,163.5,157.3,115,23,88
J6,157.3,145,577,33,300
K1,145,140.2,205,29,89
K2,130,122.46,176,30,115
K3,125,113,254,38,163
K4,113,100.5,340,52,218
K5,99.6,93.5,351,39,169
K6,93.5,89.3,339,38,130
K7,83.5,70.6,1937,87,1040
K8,70.6,66,2103,67,742
Pg0,66,61.7,1605,33,385
Pg1,61.7,55.8,2533,55,576
Pg2,55.8,50.3,8838,93,1743
Pg3,46.2,40.4,2374,82,595
Pg4,37.2,33.9,2915,91,631
Pg5,33.9,28.4,5172,124,1409
Ng1,20.43,15.97,3409,119,804
Ng2,15.97,13.6,6697,233,1736
Ng3,4.9,1.8,4850,160,1474
Ng4,0.126,0.0117,11547,168,2749
